Name,Rarity,Color Identity
Strategic Betrayal,Uncommon,B
Sultai Devotee,Common,BGU
Sultai Monument,Uncommon,BGU
Summit Intimidator,Common,R
Sunpearl Kirin,Uncommon,W
Sunset Strikemaster,Uncommon,R
"Surrak, Elusive Hunter",Rare,G
Swiftwater Cliffs,Common,RU
Synchronized Charge,Uncommon,G
"Taigam, Master Opportunist",Mythic,U
Teeming Dragonstorm,Uncommon,W
Tempest Hawk,Common,W
Temur Battlecrier,Rare,GRU
Temur Devotee,Common,GRU
Temur Monument,Uncommon,GRU
Temur Tawnyback,Common,GRU
Tersa Lightshatter,Rare,R
"Teval, Arbiter of Virtue",Mythic,BGU
The Sibsig Ceremony,Rare,B
Thornwood Falls,Common,GU
Thunder of Unity,Rare,BRW
Trade Route Envoy,Common,G
Tranquil Cove,Common,UW
Traveling Botanist,Uncommon,G
Twin Bolt,Common,R
Twinmaw Stormbrood // Charring Bite,Uncommon,RW
"Ugin, Eye of the Storms",Mythic,Colorless
Unburied Earthcarver,Common,B
Underfoot Underdogs,Common,R
Undergrowth Leopard,Common,G
Unending Whisper,Common,U
United Battlefront,Rare,W
Unrooted Ancestor,Uncommon,B
Unsparing Boltcaster,Uncommon,R
Ureni's Rebuff,Uncommon,U
"Ureni, the Song Unending",Mythic,GRU
Venerated Stormsinger,Uncommon,B
Veteran Ice Climber,Uncommon,U
Voice of Victory,Rare,W
Wail of War,Uncommon,B
Warden of the Grove,Rare,G
War Effort,Uncommon,R
Watcher of the Wayside,Common,Colorless
Wayspeaker Bodyguard,Uncommon,W
Whirlwing Stormbrood // Dynamic Soar,Uncommon,GU
Wild Ride,Common,R
Windcrag Siege,Rare,RW
Wind-Scarred Crag,Common,RW
Wingblade Disciple,Uncommon,U
Wingspan Stride,Common,U
Winternight Stories,Rare,U
Worthy Cost,Common,B
Yathan Roadwatcher,Rare,BGW
Yathan Tombguard,Uncommon,B
Zurgo's Vanguard,Uncommon,R
"Zurgo, Thunder's Decree",Rare,BRW
